τ,Coverage,Accuracy,F1 (binary),Recall,Abstained,n_predicted
0.5,1.0,0.6268216020573388,0.2084848484848485,0.5471898197242842,0.0,10499
0.55,0.6851128678921802,0.6649520367023495,0.2305236270753512,0.5631825273010921,0.3148871321078198,7193
0.6,0.42061148680826743,0.6897644927536232,0.26264800861141013,0.6256410256410256,0.5793885131917326,4416
0.65,0.22725973902276408,0.6886001676445934,0.2983947119924457,0.7214611872146118,0.7727402609772359,2386
0.7,0.10410515287170206,0.6825251601097896,0.3538175046554935,0.8407079646017699,0.8958948471282979,1093
0.75,0.04771883036479665,0.6826347305389222,0.4259927797833935,0.8805970149253731,0.9522811696352034,501
0.8,0.02495475759596152,0.7251908396946565,0.5324675324675324,0.9534883720930233,0.9750452424040384,262
0.85,0.01247737879798076,0.7557251908396947,0.5675675675675675,1.0,0.9875226212020193,131
0.9,0.005048099819030384,0.9056603773584906,0.7619047619047619,1.0,0.9949519001809696,53
0.95,0.002190684827126393,0.9130434782608695,0.6666666666666666,1.0,0.9978093151728736,23
