τ,Coverage,Accuracy,F1 (binary),Recall,Abstained,n_predicted
0.5,1.0,0.9043718449376131,0.08727272727272728,0.05090137857900318,0.0,10499
0.55,0.9599009429469473,0.9148640603294305,0.040268456375838924,0.02102803738317757,0.04009905705305272,10078
0.6,0.8936089151347747,0.9225111916435728,0.02677376171352075,0.013605442176870748,0.1063910848652253,9382
0.65,0.7742642156395847,0.9297576577684832,0.013816925734024179,0.006956521739130435,0.2257357843604153,8129
0.7,0.5913896561577293,0.9402480270574972,0.005361930294906166,0.002688172043010753,0.4086103438422707,6209
0.75,0.36793980379083724,0.9482267667615842,0.0,0.0,0.6320601962091628,3863
0.8,0.16868273168873227,0.9604743083003953,0.0,0.0,0.8313172683112677,1771
0.85,0.04476616820649586,0.9744680851063829,0.0,0.0,0.9552338317935042,470
0.9,0.007524526145347176,1.0,0.0,0.0,0.9924754738546528,79
0.95,0.0008572244975711972,1.0,0.0,0.0,0.9991427755024288,9
