,importance
num_lab_procedures,0.08496179415580256
num_medications,0.07541181838372718
discharge_disposition_id,0.056666076209901564
time_in_hospital,0.05651299596152081
age,0.04667188235110656
number_diagnoses,0.04123448560155832
num_procedures,0.03855416657644235
admission_type_id,0.028452688379367975
number_inpatient,0.028196186652589716
insulin,0.026255201990184163
admission_source_id,0.02518954951265851
A1Cresult,0.019495615860905133
gender,0.0175037962550222
number_outpatient,0.015576756949954626
medical_specialty_Unknown,0.015250375465113212
diag_3_Circulatory,0.014227664469515112
diag_2_Circulatory,0.013979467995594254
metformin,0.013892876384376321
payer_code_Unknown,0.013519359577662204
diag_1_Circulatory,0.013349875524416016
change,0.013039403908945802
diag_3_Other,0.013033317338396817
diag_2_Other,0.012520374603480825
race_Caucasian,0.012273439586906337
payer_code_MC,0.011733158270521222
diag_3_Diabetes,0.01126781536890044
diabetesMed,0.011050181301620532
glipizide,0.010639127472995702
diag_1_Other,0.010112290769990588
glyburide,0.009923039004054736
